Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
46827 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
46927 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
47034 ms, -1, 200, 167, 44, 39, 45, 39, 45, 128, 0
47141 ms, -1, 228, 0, 4, 0, 0, 39, 45, 128, 0
47248 ms, -1, 430, 186, 18, 0, 0, 39, 45, 128, 0
47355 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
47430 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
47492 ms, -1, 201, 2, 251, 64, 0, 0, 0, 0, 0
47561 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
47622 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
47682 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
47744 ms, -1, 228, 0, 4, 0, 0, 39, 44, 128, 0
47810 ms, -1, 430, 186, 18, 0, 0, 39, 44, 128, 0
47880 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
47941 ms, -1, 201, 2, 251, 64, 20, 0, 0, 0, 0
48002 ms, -1, 430, 186, 18, 64, 20, 0, 0, 0, 0
48063 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
48123 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
48185 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
48245 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
48307 ms, -1, 430, 188, 17, 39, 44, 39, 44, 128, 0
48367 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
48435 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
48499 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
48561 ms, -1, 201, 2, 254, 64, 20, 0, 0, 0, 0
48621 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
