Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
57308 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
57363 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
57418 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
57474 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
57529 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
57584 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
57639 ms, -1, 228, 0, 4, 0, 0, 39, 39, 128, 0
57695 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
57768 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
57825 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
57880 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
57935 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
57991 ms, -1, 228, 0, 4, 0, 0, 39, 42, 128, 0
58062 ms, -1, 201, 3, 204, 63, 236, 0, 0, 0, 0
58118 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
58173 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
58228 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
58284 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58345 ms, -1, 228, 0, 4, 0, 0, 39, 42, 128, 0
58400 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
58456 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
58511 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58566 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
58621 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58677 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58732 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58787 ms, -1, 228, 0, 4, 0, 0, 39, 42, 128, 0
58843 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58904 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
58960 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
59016 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
60071 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
60127 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
60181 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
60236 ms, 1, 228, 0, 4, 0, 0, 39, 45, 128, 0
60292 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
60347 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
60403 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
60459 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
60525 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
60580 ms, 1, 200, 167, 40, 39, 40, 39, 40, 128, 0
60636 ms, 1, 240, 12, 0, 39, 40, 39, 40, 128, 0
60691 ms, 1, 200, 167, 40, 39, 40, 39, 40, 128, 0
60746 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
60802 ms, 1, 200, 167, 39, 39, 39, 39, 39, 128, 0
60857 ms, 1, 430, 28, 149, 39, 39, 39, 39, 128, 0
60912 ms, 1, 200, 167, 39, 39, 39, 39, 39, 128, 0
60967 ms, 1, 200, 167, 40, 39, 40, 39, 40, 128, 0
61023 ms, 1, 200, 167, 40, 39, 40, 39, 40, 128, 0
61084 ms, 1, 200, 167, 40, 39, 40, 39, 40, 128, 0
61139 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
61195 ms, 1, 240, 13, 0, 39, 42, 39, 42, 128, 0
61250 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
61305 ms, 1, 240, 12, 0, 39, 43, 39, 43, 128, 0
61361 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
61416 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
61471 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
61527 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
61582 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
61643 ms, 1, 228, 0, 4, 0, 0, 39, 42, 128, 0
61699 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
61754 ms, 1, 240, 13, 0, 39, 41, 39, 41, 128, 0
61809 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
61864 ms, 1, 240, 11, 0, 39, 41, 39, 41, 128, 0
61934 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
61989 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
62045 ms, 1, 240, 12, 0, 39, 43, 39, 43, 128, 0
62100 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
62155 ms, 1, 430, 28, 149, 39, 45, 39, 45, 128, 0
62217 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
62272 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
62328 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
62384 ms, 1, 201, 3, 192, 63, 236, 0, 0, 0, 0
62439 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
62494 ms, 1, 240, 12, 0, 39, 44, 39, 44, 128, 0
62550 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
62605 ms, 1, 240, 11, 0, 39, 43, 39, 43, 128, 0
62660 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
62715 ms, 1, 240, 13, 0, 39, 44, 39, 44, 128, 0
62794 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
62850 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
62905 ms, 1, 240, 12, 0, 39, 45, 39, 45, 128, 0
62960 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
63015 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
63071 ms, 1, 200, 167, 47, 39, 47, 39, 47, 128, 0
63126 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
63181 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
63237 ms, 1, 228, 0, 4, 0, 0, 39, 46, 128, 0
63292 ms, 1, 200, 167, 47, 39, 47, 39, 47, 128, 0
63362 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
63423 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
63478 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
63534 ms, 1, 240, 12, 0, 39, 46, 39, 46, 128, 0
63589 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
63644 ms, 1, 240, 12, 0, 39, 45, 39, 45, 128, 0
63699 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
63755 ms, 1, 430, 28, 150, 39, 46, 39, 46, 128, 0
63810 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
63866 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
63921 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
63982 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
64038 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
65093 ms, -1, 240, 12, 0, 39, 44, 39, 44, 128, 0
65149 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
65205 ms, -1, 240, 12, 0, 39, 44, 39, 44, 128, 0
65260 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
65315 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
