Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
39687, 2731 rpm , 200, 167, 9, 39, 9, 39, 9, 128, 0
39766, 2732 rpm , 201, 10, 176, 64, 40, 0, 0, 12, 0
39947, 2739 rpm , 201, 10, 179, 64, 40, 0, 0, 11, 0
40036, 2744 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
40256, 2746 rpm , 200, 167, 9, 39, 9, 39, 9, 128, 0
40496, 2751 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
40706, 2752 rpm , 201, 10, 190, 63, 96, 0, 0, 11, 0
40796, 2748 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
41105, 2752 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
41545, 2729 rpm , 200, 166, 251, 38, 251, 38, 251, 128, 0
42024, 2493 rpm , 200, 166, 248, 38, 248, 38, 248, 128, 0
42194, 2398 rpm , 201, 9, 89, 61, 168, 0, 0, 9, 0
42284, 2323 rpm , 200, 166, 229, 38, 229, 38, 229, 128, 0
42394, 2241 rpm , 201, 8, 203, 61, 28, 0, 0, 9, 0
42493, 2174 rpm , 200, 166, 212, 38, 212, 38, 212, 128, 0
42564, 2128 rpm , 201, 8, 90, 61, 228, 0, 0, 9, 0
42644, 2084 rpm , 228, 0, 4, 0, 0, 105, 0, 0, 0
42783, 2012 rpm , 201, 7, 189, 60, 204, 0, 0, 9, 0
43044, 1826 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
43194, 1767 rpm , 228, 0, 4, 0, 0, 158, 0, 0, 0
43273, 1702 rpm , 201, 6, 171, 61, 228, 0, 0, 9, 0
43473, 1619 rpm , 201, 6, 87, 62, 132, 0, 0, 9, 0
43823, 1540 rpm , 201, 6, 4, 63, 76, 0, 0, 10, 0
43913, 1529 rpm , 201, 5, 243, 63, 96, 0, 0, 10, 0
43993, 1524 rpm , 200, 167, 5, 39, 5, 39, 5, 128, 0
44112, 1534 rpm , 200, 167, 9, 39, 9, 39, 9, 128, 0
44523, 1609 rpm , 200, 167, 30, 39, 30, 39, 30, 128, 0
44593, 1644 rpm , 201, 6, 104, 65, 4, 0, 0, 11, 0
44702, 1672 rpm , 200, 167, 26, 39, 26, 39, 26, 128, 0
45458, 1816 rpm , 430, 186, 18, 12, 28, 95, 0, 0, 0
45551, 1825 rpm , 201, 7, 36, 64, 80, 0, 0, 11, 0
45648, 1835 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
45718, 1832 rpm , 228, 0, 4, 0, 0, 0, 172, 80, 0
45780, 1840 rpm , 200, 167, 4, 39, 4, 39, 4, 128, 0
46281, 1882 rpm , 201, 7, 90, 64, 100, 0, 0, 11, 0
46411, 1895 rpm , 200, 167, 2, 39, 2, 39, 2, 128, 0
46870, 1932 rpm , 201, 7, 140, 64, 100, 0, 0, 11, 0
46960, 1946 rpm , 201, 7, 155, 64, 100, 0, 0, 11, 0
47031, 1951 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
47130, 1954 rpm , 201, 7, 165, 64, 60, 0, 0, 11, 0
47380, 1979 rpm , 201, 7, 186, 64, 60, 0, 0, 11, 0
47447, 1985 rpm , 430, 186, 18, 64, 60, 0, 0, 11, 0
47510, 1988 rpm , 200, 166, 250, 38, 250, 38, 250, 128, 0
47590, 1988 rpm , 201, 7, 196, 64, 0, 0, 0, 11, 0
47751, 1977 rpm , 201, 7, 188, 64, 0, 0, 0, 11, 0
47890, 1984 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
48148, 1994 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
48209, 1994 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
48340, 1995 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
48409, 1994 rpm , 201, 7, 200, 63, 236, 0, 0, 11, 0
48490, 1999 rpm , 420, 141, 0, 184, 0, 0, 0, 0, 0
48569, 2000 rpm , 201, 7, 210, 64, 60, 0, 0, 11, 0
48730, 2017 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
49119, 2052 rpm , 200, 167, 3, 39, 3, 39, 3, 128, 0
49309, 2068 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
49618, 2123 rpm , 201, 8, 75, 65, 24, 0, 0, 11, 0
49850, 2169 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
49979, 2196 rpm , 201, 8, 148, 65, 104, 0, 0, 11, 0
50297, 2253 rpm , 200, 167, 10, 39, 10, 39, 10, 128, 0
50589, 2355 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
50698, 2380 rpm , 200, 167, 14, 39, 14, 39, 14, 128, 0
50859, 2411 rpm , 201, 9, 107, 64, 180, 0, 0, 9, 0
50927, 2430 rpm , 200, 167, 11, 39, 11, 39, 11, 128, 0
51138, 2465 rpm , 200, 167, 10, 39, 10, 39, 10, 128, 0
51338, 2480 rpm , 200, 167, 1, 39, 1, 39, 1, 128, 0
51518, 2449 rpm , 201, 9, 141, 63, 56, 0, 0, 8, 0
51607, 2417 rpm , 200, 166, 243, 38, 243, 38, 243, 128, 0
51849, 2322 rpm , 4EA, 0, 65, 12, 36, 72, 0, 0, 0
51938, 2275 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
52027, 2214 rpm , 201, 8, 175, 61, 28, 0, 0, 5, 0
52207, 2063 rpm , 201, 8, 15, 60, 224, 0, 0, 5, 0
52387, 1898 rpm , 201, 7, 106, 59, 120, 0, 0, 5, 0
52476, 1825 rpm , 200, 166, 196, 38, 196, 38, 196, 128, 0
52747, 1620 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
52927, 1529 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
52996, 1503 rpm , 200, 166, 240, 38, 240, 38, 240, 128, 0
53075, 1484 rpm , 200, 166, 244, 38, 244, 38, 244, 128, 0
53536, 1460 rpm , 201, 5, 182, 64, 60, 0, 0, 6, 0
53815, 1446 rpm , 200, 166, 239, 38, 239, 38, 239, 128, 0
54187, 1302 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
54276, 1247 rpm , 201, 4, 223, 60, 104, 0, 0, 0, 0
54345, 1172 rpm , 201, 4, 148, 61, 28, 0, 0, 0, 0
54646, 1003 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
54795, 924 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
54874, 867 rpm , 200, 167, 20, 39, 20, 39, 20, 128, 0
54984, 813 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
55054, 802 rpm , 200, 167, 50, 39, 50, 39, 50, 128, 0
55224, 803 rpm , 200, 167, 55, 39, 55, 39, 55, 128, 0
55434, 808 rpm , 201, 3, 76, 63, 176, 0, 0, 0, 0
55503, 812 rpm , 201, 3, 71, 63, 196, 0, 0, 0, 0
55684, 811 rpm , 201, 3, 64, 63, 216, 0, 0, 0, 0
